Sr No.,car_name,reviews_count,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,rating,starting_price,ending_price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
99,BMW i4,8,Electric,0,0,5,Electric,0,Sedan,4.5,6990000,6990000,430,0,335.25,0
100,Land Rover Range Rover Sport,7,Diesel,2997,6,5,Automatic,0,SUV,4.5,16400000,18400000,700,3000,345.98,4000
101,Jaguar F-TYPE,4,Petrol,5000,8,2,Automatic,70,Coupe,4.5,9813000,15300000,580,500,443.8,6000
102,Datsun redi-GO,67,Petrol,999,3,5,Automatic,28,Hatchback,3.5,398000,496000,91,4250,67.05,5550
103,BMW 2 Series,9,Diesel,1995,4,5,Automatic,51,Sedan,4.5,4150000,4450000,400,2500,187.74,4000
104,Isuzu D-Max,8,Diesel,1898,4,5,Automatic,0,SUV,4.5,1300000,2700000,360,2500,160.92,3600
105,BMW 5 Series,6,Diesel,2993,6,5,Automatic,0,Sedan,4.5,6450000,7450000,620,2500,261.49,4000
106,Audi Q2,10,Petrol,1984,4,5,Automatic,55,SUV,4.5,3499000,4889000,320,4180,187.74,6000
107,Mercedes-Benz GLS,10,Petrol,3982,8,7,Automatic,90,SUV,4.5,11600000,24700000,730,4500,549.81,6500
108,Porsche Cayenne,12,Petrol,3996,8,5,Automatic,90,SUV,4.5,12700000,19300000,770,4500,550,6000
109,Citroen C5 Aircross,44,Diesel,1997,4,5,Automatic,52.5,SUV,4,3224000,3378000,400,2000,174.33,3750
110,Datsun GO,312,Petrol,1198,3,5,Automatic,35,Hatchback,4.5,403000,651000,104,4400,76.43,6000
111,Volvo S60,7,Petrol,1969,4,5,Automatic,0,Sedan,4.5,4590000,4590000,300,0,190,0
112,Porsche Macan,9,Petrol,2894,6,5,Automatic,65,SUV,4.5,8321000,14700000,550,5600,434.49,6600
113,Jaguar XE,22,Petrol,1997,4,5,Automatic,61.7,Sedan,4.5,4664000,4850000,365,4000,246.74,5500
114,BYD E6,6,Electric,0,0,5,Electric,0,MUV,4.5,2915000,2915000,180,0,93.87,0
115,Jaguar F-Pace,5,Petrol,4999,8,5,Automatic,82,SUV,4.5,7488000,15600000,700,5000,543.11,6500
116,Tata Tiago NRG,12,Petrol,1199,3,5,Automatic,35,Hatchback,4.5,642000,738000,113,3300,84.48,6000
117,Mahindra KUV 100 NXT,226,Petrol,1198,3,6,Manual,35,Hatchback,4.5,618000,784000,115,3600,82,5500
118,Mini Cooper SE,3,Electric,0,0,4,Automatic,0,Hatchback,4.5,5090000,5090000,270,1000,181.03,0
119,Audi e-tron,7,Electric,0,0,5,Electric,0,Coupe,4.5,10100000,11900000,664,0,300,0
120,Datsun GO Plus,307,Petrol,1198,3,7,Automatic,35,MUV,4.5,426000,700000,104,4400,76.43,6000
121,Mercedes-Benz AMG G 63,8,Petrol,3982,8,5,Automatic,0,SUV,4.5,25500000,25500000,850,3500,576.63,6000
122,Mercedes-Benz AMG GT,16,Petrol,3982,8,2,Automatic,75,Coupe,4.5,27100000,27100000,700,5500,576.63,6250
123,Lexus ES,31,Petrol,2487,4,5,Automatic,65,Sedan,4.5,5950000,6560000,202,5200,214.56,5700
124,Porsche Taycan,8,Electric,0,0,5,Electric,0,Wagon,4.5,15300000,23400000,650,0,482.76,0
125,Lexus LS,3,Petrol,3456,6,4,Automatic,82,Sedan,4.5,19100000,22200000,350,5100,354,6600
